[ 5875.311671] starting process tree print
[ 5875.311674] pid: 0, parent_pid: 0, name: swapper/0, state: running, state(num): 0
[ 5875.311677] pid: 1, parent_pid: 0, name: systemd, state: interruptable , state(num): 1
[ 5875.311679] pid: 227, parent_pid: 1, name: systemd-journal, state: interruptable , state(num): 1
[ 5875.311682] pid: 234, parent_pid: 1, name: systemd-udevd, state: interruptable , state(num): 1
[ 5875.311683] pid: 26295, parent_pid: 234, name: systemd-udevd, state: interruptable , state(num): 1
[ 5875.311685] pid: 343, parent_pid: 1, name: systemd-timesyn, state: interruptable , state(num): 1
[ 5875.311687] pid: 464, parent_pid: 1, name: rpcbind, state: interruptable , state(num): 1
[ 5875.311688] pid: 473, parent_pid: 1, name: rpc.statd, state: interruptable , state(num): 1
[ 5875.311690] pid: 487, parent_pid: 1, name: rpc.idmapd, state: interruptable , state(num): 1
[ 5875.311691] pid: 489, parent_pid: 1, name: accounts-daemon, state: interruptable , state(num): 1
[ 5875.311693] pid: 490, parent_pid: 1, name: cron, state: interruptable , state(num): 1
[ 5875.311694] pid: 491, parent_pid: 1, name: ModemManager, state: interruptable , state(num): 1
[ 5875.311696] pid: 492, parent_pid: 1, name: rsyslogd, state: interruptable , state(num): 1
[ 5875.311697] pid: 493, parent_pid: 1, name: avahi-daemon, state: interruptable , state(num): 1
[ 5875.311699] pid: 503, parent_pid: 493, name: avahi-daemon, state: interruptable , state(num): 1
[ 5875.311708] pid: 495, parent_pid: 1, name: NetworkManager, state: interruptable , state(num): 1
[ 5875.311710] pid: 24749, parent_pid: 495, name: dhclient, state: interruptable , state(num): 1
[ 5875.311712] pid: 498, parent_pid: 1, name: atd, state: interruptable , state(num): 1
[ 5875.311714] pid: 500, parent_pid: 1, name: dbus-daemon, state: interruptable , state(num): 1
[ 5875.311715] pid: 518, parent_pid: 1, name: systemd-logind, state: interruptable , state(num): 1
[ 5875.311717] pid: 527, parent_pid: 1, name: acpid, state: interruptable , state(num): 1
[ 5875.311718] pid: 528, parent_pid: 1, name: cupsd, state: interruptable , state(num): 1
[ 5875.311719] pid: 529, parent_pid: 1, name: cups-browsed, state: interruptable , state(num): 1
[ 5875.311721] pid: 534, parent_pid: 1, name: sshd, state: interruptable , state(num): 1
[ 5875.311722] pid: 541, parent_pid: 1, name: minissdpd, state: interruptable , state(num): 1
[ 5875.311724] pid: 542, parent_pid: 1, name: polkitd, state: interruptable , state(num): 1
[ 5875.311725] pid: 544, parent_pid: 1, name: agetty, state: interruptable , state(num): 1
[ 5875.311726] pid: 565, parent_pid: 1, name: gdm3, state: interruptable , state(num): 1
[ 5875.311727] pid: 585, parent_pid: 565, name: Xorg, state: running, state(num): 0
[ 5875.311729] pid: 1006, parent_pid: 565, name: gdm-session-wor, state: interruptable , state(num): 1
[ 5875.311730] pid: 1019, parent_pid: 1006, name: x-session-manag, state: interruptable , state(num): 1
[ 5875.311732] pid: 1056, parent_pid: 1019, name: ssh-agent, state: interruptable , state(num): 1
[ 5875.311733] pid: 1083, parent_pid: 1019, name: gnome-settings-, state: interruptable , state(num): 1
[ 5875.311734] pid: 1161, parent_pid: 1019, name: gnome-shell, state: interruptable , state(num): 1
[ 5875.311736] pid: 1195, parent_pid: 1019, name: evolution-alarm, state: interruptable , state(num): 1
[ 5875.311738] pid: 1196, parent_pid: 1019, name: nm-applet, state: interruptable , state(num): 1
[ 5875.311739] pid: 1198, parent_pid: 1019, name: tracker-miner-u, state: interruptable , state(num): 1
[ 5875.311741] pid: 1200, parent_pid: 1019, name: nautilus, state: interruptable , state(num): 1
[ 5875.311743] pid: 1205, parent_pid: 1019, name: tracker-extract, state: interruptable , state(num): 1
[ 5875.311744] pid: 1210, parent_pid: 1019, name: zeitgeist-datah, state: interruptable , state(num): 1
[ 5875.311746] pid: 1211, parent_pid: 1019, name: tracker-miner-f, state: running, state(num): 0
[ 5875.311747] pid: 1212, parent_pid: 1019, name: tracker-miner-a, state: interruptable , state(num): 1
[ 5875.311748] pid: 1214, parent_pid: 1019, name: applet.py, state: interruptable , state(num): 1
[ 5875.311750] pid: 24834, parent_pid: 1006, name: gdm-session-wor, state: interruptable , state(num): 1
[ 5875.311751] pid: 845, parent_pid: 1, name: exim4, state: interruptable , state(num): 1
[ 5875.311752] pid: 902, parent_pid: 1, name: systemd, state: interruptable , state(num): 1
[ 5875.311754] pid: 903, parent_pid: 902, name: (sd-pam), state: interruptable , state(num): 1
[ 5875.311755] pid: 933, parent_pid: 1, name: upowerd, state: interruptable , state(num): 1
[ 5875.311757] pid: 945, parent_pid: 1, name: colord, state: interruptable , state(num): 1
[ 5875.311758] pid: 955, parent_pid: 1, name: rtkit-daemon, state: interruptable , state(num): 1
[ 5875.311760] pid: 954, parent_pid: 1, name: pulseaudio, state: interruptable , state(num): 1
[ 5875.311761] pid: 986, parent_pid: 1, name: wpa_supplicant, state: interruptable , state(num): 1
[ 5875.311763] pid: 989, parent_pid: 1, name: packagekitd, state: interruptable , state(num): 1
[ 5875.311764] pid: 1011, parent_pid: 1, name: systemd, state: interruptable , state(num): 1
[ 5875.311766] pid: 1012, parent_pid: 1011, name: (sd-pam), state: interruptable , state(num): 1
[ 5875.311768] pid: 1016, parent_pid: 1, name: gnome-keyring-d, state: interruptable , state(num): 1
[ 5875.311769] pid: 1060, parent_pid: 1, name: dbus-daemon, state: interruptable , state(num): 1
[ 5875.311773] pid: 1059, parent_pid: 1, name: dbus-launch, state: interruptable , state(num): 1
[ 5875.311774] pid: 1063, parent_pid: 1, name: at-spi-bus-laun, state: interruptable , state(num): 1
[ 5875.311775] pid: 1067, parent_pid: 1063, name: dbus-daemon, state: interruptable , state(num): 1
[ 5875.311777] pid: 1071, parent_pid: 1, name: at-spi2-registr, state: interruptable , state(num): 1
[ 5875.311778] pid: 1098, parent_pid: 1, name: pulseaudio, state: interruptable , state(num): 1
